Highlight,Title,Author,Location,Date
在史丹佛大學監獄研究中，這三類守衛對表現焦慮的反應，與我們在其他針對權力和領導所做的研究中看到的一樣。有些人高姿態表現自己的權力，有些人放低姿態弱化自己的權力，還有些人公正不阿地行使權力。但這些反應都是在扮演位高權重者時，應付表現焦慮的不同方式。,﻿懂權力，在每個角色上發光：史丹佛MBA爆棚選修課，擊敗沒安全感、霸凌，讓自己被需要就能自信發揮影響力,Deborah Gruenfeld,507,2021-09-09 12:55:08
大多數人為出現在鎂光燈下這種重要時刻做準備時，會專注於他們要說的話。在大型報告會前，有很多天晚上我都會輾轉反側，腦子不由自主地閃現講稿裡一些連貫或突兀的句子。相信我：這不是最有效的準備方式。我發現更有效的方式是，站起來，至少把上台要穿的某樣東西穿上（我通常穿上我上台穿的鞋子），拿起道具（筆記型電腦、雷射筆、簡報搖控器），然後一邊講話，一邊走動。讓身體熟悉這種狀態並融入你要說的內容，讓它有機會自我展現。,﻿懂權力，在每個角色上發光：史丹佛MBA爆棚選修課，擊敗沒安全感、霸凌，讓自己被需要就能自信發揮影響力,Deborah Gruenfeld,666,2021-09-21 11:09:52
通常，我在提供指導時，會堅持被指導者先花三十秒時間做進場練習：進入房間或在舞台上走動，拿起麥克風，逐一向人們打招呼，放下東西，拉出椅子並坐下來，或是歡迎其他人參加會議。他們學會不慌不忙熟練地處理道具，在開始說話前先在椅子上坐好就定位，練習擺好手勢，這樣就不會顯得手足無措等等。排練是一種引導緊張能量並避免某些意外的方式，而且還可以讓自己調適好心態，預期有好的結果出現，並向自己證明，你完全有能力做好你分內的事。而且，不管發生什麼事，你都有辦法處理。,﻿懂權力，在每個角色上發光：史丹佛MBA爆棚選修課，擊敗沒安全感、霸凌，讓自己被需要就能自信發揮影響力,Deborah Gruenfeld,670,2021-09-21 11:10:05
大多數人大都只想著自己的事。他們花四秒鐘想妳的事，然後又回去想自己的事,﻿懂權力，在每個角色上發光：史丹佛MBA爆棚選修課，擊敗沒安全感、霸凌，讓自己被需要就能自信發揮影響力,Deborah Gruenfeld,693,2021-09-21 05:31:54
大多數人大都只想著自己的事。他們花四秒鐘想妳的事，然後又回去想自己的事。,﻿懂權力，在每個角色上發光：史丹佛MBA爆棚選修課，擊敗沒安全感、霸凌，讓自己被需要就能自信發揮影響力,Deborah Gruenfeld,693,2021-09-21 05:32:01
當削弱抑制慾望的能力和對非凡性能力的不安全感結合在一起時，下屬就會被當成證明性能力的對象和工具。,﻿懂權力，在每個角色上發光：史丹佛MBA爆棚選修課，擊敗沒安全感、霸凌，讓自己被需要就能自信發揮影響力,Deborah Gruenfeld,853,2021-09-22 10:23:57
只要人們覺得自己在其他方面已經很強大，擁有權力往往讓人更有責任感。,﻿懂權力，在每個角色上發光：史丹佛MBA爆棚選修課，擊敗沒安全感、霸凌，讓自己被需要就能自信發揮影響力,Deborah Gruenfeld,890,2021-09-22 10:26:19
我們所有人都有需求，也有不安全感，但是處於權力地位時，人們就會為了滿足需求和消除不安全感而採取行動。,﻿懂權力，在每個角色上發光：史丹佛MBA爆棚選修課，擊敗沒安全感、霸凌，讓自己被需要就能自信發揮影響力,Deborah Gruenfeld,012,2021-09-24 07:28:15
雖然興奮聽起來跟性有關，但本質上其實跟性無關。興奮（arousal）是對任何形式的刺激所產生的生理反應。,﻿懂權力，在每個角色上發光：史丹佛MBA爆棚選修課，擊敗沒安全感、霸凌，讓自己被需要就能自信發揮影響力,Deborah Gruenfeld,032,2021-10-04 09:33:25
我們往往認為性吸引力、性強迫症和性侵害是強烈情感的表達。但實際上，這些行為都可能是對焦慮、壓力和恐懼伴隨而來的生理興奮，所做出的反應。,﻿懂權力，在每個角色上發光：史丹佛MBA爆棚選修課，擊敗沒安全感、霸凌，讓自己被需要就能自信發揮影響力,Deborah Gruenfeld,043,2021-10-04 09:34:32
認出危險信號。首先，請當心那些無法接受拒絕的人。,﻿懂權力，在每個角色上發光：史丹佛MBA爆棚選修課，擊敗沒安全感、霸凌，讓自己被需要就能自信發揮影響力,Deborah Gruenfeld,124,2021-10-04 10:16:49
所以你應該做的是，盡可能地表現出你覺得這樣很無趣（,﻿懂權力，在每個角色上發光：史丹佛MBA爆棚選修課，擊敗沒安全感、霸凌，讓自己被需要就能自信發揮影響力,Deborah Gruenfeld,143,2021-10-04 10:18:06
所以你應該做的是，盡可能地表現出你覺得這樣很無趣,﻿懂權力，在每個角色上發光：史丹佛MBA爆棚選修課，擊敗沒安全感、霸凌，讓自己被需要就能自信發揮影響力,Deborah Gruenfeld,143,2021-10-04 10:18:14
研究發現，平均來說，遭陌生人強暴的受害者並沒有比其他女性更有吸引力。,﻿懂權力，在每個角色上發光：史丹佛MBA爆棚選修課，擊敗沒安全感、霸凌，讓自己被需要就能自信發揮影響力,Deborah Gruenfeld,167,2021-10-04 10:19:34
更好的做法是，堅定地舉起一根手指，示意對方不要說話或等一下再講，或者簡單地說：「我快講完了。,﻿懂權力，在每個角色上發光：史丹佛MBA爆棚選修課，擊敗沒安全感、霸凌，讓自己被需要就能自信發揮影響力,Deborah Gruenfeld,217,2021-10-04 10:25:04
更好的做法是，堅定地舉起一根手指，示意對方不要說話或等一下再講，或者簡單地說：「我快講完了。」,﻿懂權力，在每個角色上發光：史丹佛MBA爆棚選修課，擊敗沒安全感、霸凌，讓自己被需要就能自信發揮影響力,Deborah Gruenfeld,217,2021-10-04 10:25:09
更好的做法是，堅定地舉起一根手指，示意對方不要說話或等一下再講，或者簡單地說：「我快講完了。」如同我所觀察到的那樣，用手指著對方效果出奇驚人。只是將手臂從身體上移，似乎表明反擊的意圖，那根手指就像武器一樣發揮作用。非口語手勢往往比口頭爭論更有效，尤其是對女性來說。實際上，埃默里大學梅莉莎．威廉斯和斯克利普斯學院（Scripps College）校長拉莉薩．泰登斯（Larissa Tiedens）最近進行的一項研究發現，女性在言語上表現自信或主控權可能引發強烈反彈，但非口語方式則不會遭致反彈。,﻿懂權力，在每個角色上發光：史丹佛MBA爆棚選修課，擊敗沒安全感、霸凌，讓自己被需要就能自信發揮影響力,Deborah Gruenfeld,217,2021-10-04 10:25:46
將你的指責改變措詞變成問句，會比斥責對方更有效，至少某種程度上這樣做，將解釋的重擔丟給肇事者。,﻿懂權力，在每個角色上發光：史丹佛MBA爆棚選修課，擊敗沒安全感、霸凌，讓自己被需要就能自信發揮影響力,Deborah Gruenfeld,229,2021-10-04 10:28:16
他對人一視同仁地尊重，並認知到每個人的權力各不相同。他看重智識、努力和卓越，但他骨子裡不是精英分子。他認真看待自己的工作，卻從不認為自己很了不起。,懂權力，在每個角色上發光：史丹佛MBA爆棚選修課，擊敗沒安全感、霸凌，讓自己被需要就能自信發揮影響力,Deborah Gruenfeld,594,2021-10-06 03:39:11
如果我們依據有益原則挑選領導者，我們會專注於溫暖這項個性特質。溫暖、魅力和好感度常常互換使用，但這些特質根本各不相同。掌權者具有溫暖人心的特質不僅要有魅力，討人,懂權力，在每個角色上發光：史丹佛MBA爆棚選修課，擊敗沒安全感、霸凌，讓自己被需要就能自信發揮影響力,Deborah Gruenfeld,739,2021-10-10 02:12:11
如果我們依據有益原則挑選領導者，我們會專注於溫暖這項個性特質。溫暖、魅力和好感度常常互換使用，但這些特質根本各不相同。,懂權力，在每個角色上發光：史丹佛MBA爆棚選修課，擊敗沒安全感、霸凌，讓自己被需要就能自信發揮影響力,Deborah Gruenfeld,739,2021-10-10 02:12:16
溫暖是更深層次的指標，跟真心關懷、奉獻、可靠性以及與對方同在和參與有關，就算你再忙、壓力再大、不擅交際或心神不寧，也會展現溫暖。溫暖是指可靠地表明你希望別人成功，而且為了讓別人成功，你願意發揮個人力量，承擔個人風險，並做出個人犧牲。,懂權力，在每個角色上發光：史丹佛MBA爆棚選修課，擊敗沒安全感、霸凌，讓自己被需要就能自信發揮影響力,Deborah Gruenfeld,741,2021-10-10 02:12:28
溫暖是更深層次的指標，跟真心關懷、奉獻、可靠性以及與對方同在和參與有關，就算你再忙、壓力再大、不擅交際或心神不寧，也會展現溫暖。溫暖是指可靠地表明你希望別人成功，而且為了讓別人成功，你願意發揮個人力量，承擔個人風險，並做出個人犧牲。 溫暖是指有能力在需要時，採取有力行動幫助別人，並以不威脅他人的方式，採高姿態或低姿態展現權力。藉由協助他人進步，而不僅僅是依靠奉承、魅力或空談，向對方保證你支持他們。,懂權力，在每個角色上發光：史丹佛MBA爆棚選修課，擊敗沒安全感、霸凌，讓自己被需要就能自信發揮影響力,Deborah Gruenfeld,741,2021-10-10 02:12:44
「我知道這個決定對你最好，所以你照著做就好」的思維又稱為父權主義,這些話，就是言語勒索：10歲起就該懂！29個場景帶你識破並適度反擊,森山至貴,8,2021-10-10 02:34:55
「我知道這個決定對你最好，所以你照著做就好」的思維又稱為父權主義。,這些話，就是言語勒索：10歲起就該懂！29個場景帶你識破並適度反擊,森山至貴,8,2021-10-10 02:35:02
我們的社會，明明是由大家分享每個正確的觀念才得以形成，但其實在這個主張之中，所有人會莫名地被分成「聽取」與「拜託」的兩派。 這種糟不糟糕、需不需要理會的說法，是由「聽取」的一方決定的，所以一旦每次都是由同一個人扮演「拜託」的角色，另一個人扮演「聽取」的角色就很危險。 這種危險通常是源自於雙方的立場失衡，也就是某一方總是占上風，另一方則總是屈居弱勢。,這些話，就是言語勒索：10歲起就該懂！29個場景帶你識破並適度反擊,森山至貴,06,2021-10-10 02:42:18
「這種說法很糟糕」的批評，其實暗藏著「就算這種說法是正確的，只要沒把話說得漂亮，就不用理會」的主張，這還真是奇怪的主張。 我們的社會，明明是由大家分享每個正確的觀念才得以形成，但其實在這個主張之中，所有人會莫名地被分成「聽取」與「拜託」的兩派。 這種糟不糟糕、需不需要理會的說法，是由「聽取」的一方決定的，所以一旦每次都是由同一個人扮演「拜託」的角色，另一個人扮演「聽取」的角色就很危險。 這種危險通常是源自於雙方的立場失衡，也就是某一方總是占上風，另一方則總是屈居弱勢。,這些話，就是言語勒索：10歲起就該懂！29個場景帶你識破並適度反擊,森山至貴,04,2021-10-10 02:42:25
說話要說得多得體、多客氣都是由「聽取」的一方決定的。當「聽取」的一方要求說話說得更得體、更有禮貌時，「拜託」的那一方就離球門柱越來越遠，所以「聽取」的一方總是能以「說話說得不得體」為由，拒絕任何「拜託」。,這些話，就是言語勒索：10歲起就該懂！29個場景帶你識破並適度反擊,森山至貴,12,2021-10-10 02:42:51
「從學生得『拜託』您這點來看，這件事早已與正不正確無關，您只是為了保護自己的立場而已。」這點早就被讀了這本書的人看透了。,這些話，就是言語勒索：10歲起就該懂！29個場景帶你識破並適度反擊,森山至貴,26,2021-10-10 02:46:45
有個方法能讓我們不做正確的事，也能成為正確的人，那就是指出別人的「錯誤」。,這些話，就是言語勒索：10歲起就該懂！29個場景帶你識破並適度反擊,森山至貴,71,2021-10-10 02:58:22
別把「我沒有惡意」當作藉口，真心誠意地道歉，才是取得原諒的正確作法。,這些話，就是言語勒索：10歲起就該懂！29個場景帶你識破並適度反擊,森山至貴,143,2021-10-20 01:23:12
她指出身心健全者為了一己的感動利用身心障礙者，就像是為了滿足性欲看黃色書刊一樣。,這些話，就是言語勒索：10歲起就該懂！29個場景帶你識破並適度反擊,森山至貴,209,2021-10-20 01:25:41
假設聽到「歧視絕對不會消失」這句話，不如就反問：「是啊，不過你應該不會覺得歧視是對的吧？」,這些話，就是言語勒索：10歲起就該懂！29個場景帶你識破並適度反擊,森山至貴,413,2021-10-25 12:50:31
所以當我們聽到「一直說有歧視的時候，歧視就不會消失」這句話時，不妨以「掩蓋無法讓事實消失」來堵住對方的嘴,這些話，就是言語勒索：10歲起就該懂！29個場景帶你識破並適度反擊,森山至貴,447,2021-10-25 01:00:41
所以當我們聽到「一直說有歧視的時候，歧視就不會消失」這句話時，不妨以「掩蓋無法讓事實消失」來堵住對方的嘴。,這些話，就是言語勒索：10歲起就該懂！29個場景帶你識破並適度反擊,森山至貴,447,2021-10-25 01:00:46
對楊來說，這樣的正義考量只考慮社會經濟體制終端結果的重分配，這犯了兩個錯誤，第一、人們在社會經濟過程遭遇的歧視、創傷和壓迫，不是事後在終端給予福利補償可以彌補。福利國家或者羅爾斯的思維，把社會經濟過程黑箱化，要我們對黑箱內部過程視而不見。但是舉例來說，低技術勞工在工作過程中的每日無力和自我發展被剝奪，社會福利如何彌補？第二、福利國家或者羅爾斯把正義的核心意涵理解為福利的重分配，把人視為福利的擁有者、生產者和消費者，而不是有血有肉、能力需要發展的做著各種事物的人（do-er）。,正義與差異政治,艾莉斯．楊(Iris Marion Young),23,2021-10-26 04:44:01
楊對自由主義福利國家典範的批評，對準了羅爾斯提出的正義理論。羅爾斯同意有效率的市場是必要的，但是必須給予弱勢補償。他推演的正義原則要求社會合作產生的果實，必須在有效率的諸多政策中，選擇能夠分配給最弱勢者最大福利（羅爾斯的詞彙是基本善，我代以福利稱之）的政策。可是對楊來說，這樣的正義考量只考慮社會經濟體制終端結果的重分配，這犯了兩個錯誤，第一、人們在社會經濟過程遭遇的歧視、創傷和壓迫，不是事後在終端給予福利補償可以彌補。福利國家或者羅爾斯的思維，把社會經濟過程黑箱化，要我們對黑箱內部過程視而不見。但是舉例來說，低技術勞工在工作過程中的每日無力和自我發展被剝奪，社會福利如何彌補？第二、福利國家或者羅爾斯把正義的核心意涵理解為福利的重分配，把人視為福利的擁有者、生產者和消費者，而不是有血有肉、能力需要發展的做著各種事物的人（do-er）。,正義與差異政治,艾莉斯．楊(Iris Marion Young),20,2021-10-26 04:44:31
楊對自由主義福利國家典範的批評，對準了羅爾斯提出的正義理論。羅爾斯同意有效率的市場是必要的，但是必須給予弱勢補償。他推演的正義原則要求社會合作產生的,正義與差異政治,艾莉斯．楊(Iris Marion Young),20,2021-10-26 04:44:41
楊對自由主義福利國家典範的批評，對準了羅爾斯提出的正義理論。羅爾斯同意有效率的市場是必要的，但是必須給予弱勢補償。他推演的正義原則要求社會合作產生的果實，必須在有效率的諸多政策中，選擇能夠分配給最弱勢者最大福利（羅爾斯的詞彙是基本善，我代以福利稱之）的政策。可是對楊來說，這樣的正義考量只考慮社會經濟體制終端結果的重分配，這犯了兩個錯誤，第一、人們在社會經濟過程遭遇的歧視、創傷和壓迫，不是事後在終端給予福利補償可以彌補。福利國家或者羅爾斯的思維，把社會經濟過程黑箱化，要我們對黑箱內部過程視而不見。但是舉例來說，低技術勞工在工作過程中的每日無力和自我發展被剝奪，社會福利如何彌補？第二、福利國家或者羅爾斯把正義的核心意涵理解為福利的重分配，把人視為福利的擁有者、生產者和消費者，而不是有血有肉、能力需要發展的做著各種事物的人（do-er）。人遭遇到的各種壓迫，不只是因為他該分配到的福利被剝奪，而是因為他做為做各種事物的人的能力發展和自我決定被限制或傷害。只把人視為福利分配者，看不見這些傷害。也因此，福利國家看不到人在社會經濟過程中遭遇到的各種壓迫。楊的差異政治要把這些過程打開來被看見。,正義與差異政治,艾莉斯．楊(Iris Marion Young),20,2021-10-26 04:45:00
對於正義的理性反應是始於傾聽、始於傾聽他人的呼求，而不是始於對某種事態的主張與堅持，無論其理想性有多高。,正義與差異政治,艾莉斯．楊(Iris Marion Young),64,2021-10-27 12:38:57
"The United Nations Office for Drugs and Crime (UNODC) reported in 2019 that 87,000 women were intentionally killed in 2017 with over half that number killed by a partner or family member.",In Control,"Monckton-Smith, Jane",1,2022-01-07 07:17:01
There are no crimes allegedly more difficult to prosecute than rape and domestic abuse.,In Control,"Monckton-Smith, Jane",3,2022-01-07 09:26:37
"two women are killed in the UK by their partners each week, three a day in the USA, and around five a day in Mexico, then this idea starts to fall apart. These women",In Control,"Monckton-Smith, Jane",91,2022-01-08 10:27:15
"We like to think that we would know a murderer if we met one, that there would be an identifying ‘mark of Cain’ that our finer instincts would recognise: someone different from us, someone we are unlikely to encounter in our day-to-day lives. But when we consider that two women are killed in the UK by their partners each week, three a day in the USA, and around five a day in Mexico, then this idea starts to fall apart. These women have not only met a person capable of murder, but may have moved in with or married them.",In Control,"Monckton-Smith, Jane",89,2022-01-08 10:27:38
In 2020 in the UK the intimate partner homicide rate more than doubled after lockdown restrictions were enforced during the Covid-19 pandemic and similar rises were noted across the globe.,In Control,"Monckton-Smith, Jane",92,2022-01-08 10:27:55
"There are three questions to ask when considering whether someone’s behaviours are a problem in a relationship, as articulated by victim advocate the late Ellen Pence. First: are these behaviours part of a pattern? Second: is this pattern making someone change their daily routines or choices? Third: is someone fearful as a result of these patterns?",In Control,"Monckton-Smith, Jane",14,2022-01-08 11:23:26
"Victims’ families have, in my experience, few opportunities to set the record straight, or to get their loved one’s story heard; families can be accused of lacking objectivity, but that accusation is rarely directed at the killer.",In Control,"Monckton-Smith, Jane",36,2022-01-08 01:47:09
"We should not comfortably assume the state and the primary victim are one and the same thing. This actually leaves the victim with no particular dedicated defender in the way there is one for the defendant, and there are fewer limits placed on the defence advocate. This is one of the reasons that perpetrator stories and defences are more visible. The danger is that what is said in court often becomes our official historical narrative, and we then try to learn from something that has little basis in fact.",In Control,"Monckton-Smith, Jane",84,2022-01-08 03:44:46
The victim does not have a voice.,In Control,"Monckton-Smith, Jane",87,2022-01-08 03:45:20
"Violence, however, is employed in coercive control; it does a job for someone.",In Control,"Monckton-Smith, Jane",60,2022-01-08 06:43:42
We all understand a murder explained by jealousy because it has been part of our cultural storytelling for so long.,In Control,"Monckton-Smith, Jane",94,2022-01-08 06:56:05
We all understand a murder explained by jealousy because it has been part of our cultural storytelling for so long. We are extraordinarily willing to excuse men’s homicidal violence against their partners by accepting that they feel jealous.,In Control,"Monckton-Smith, Jane",94,2022-01-08 06:56:26
"In 2009, the then Equalities Minister Harriet Harman put forward a motion to remove sexual infidelity as a partial defence to murder. At that time, and in the face of fierce opposition, it was defeated in the House of Lords, with one retired judge and law lord describing the motion as ‘outstandingly obnoxious’, and others expressing concern that this would unfairly tip the balance against those claiming the ‘crime of passion’ defence. I found this not only astonishing, but rather chilling.",In Control,"Monckton-Smith, Jane",97,2022-01-08 06:57:58
"There is a difference between using violence because you are comfortable with it and you find it effective, and using violence because you have no control over your impulses. If you can wait to use it, if you can plan, you are making choices. Blame",In Control,"Monckton-Smith, Jane",07,2022-01-08 06:59:53
"There is a difference between using violence because you are comfortable with it and you find it effective, and using violence because you have no control over your impulses. If you can wait to use it, if you can plan, you are making choices.",In Control,"Monckton-Smith, Jane",07,2022-01-08 07:00:06
"Gavin de Becker, who is a world expert in threat assessment, and is author of the book The Gift of Fear, says that ‘women live with constant wariness’, and that ‘their lives are literally on the line in ways men just don’t experience’. Irrespective of how confident or capable they are, most women do have a different relationship with fear from the relationship men have.",In Control,"Monckton-Smith, Jane",03,2022-01-09 12:26:40
Reality is very different from a hypothetical situation. Emotions are far less powerful when they are only imagined.,In Control,"Monckton-Smith, Jane",13,2022-01-09 12:28:15
Reality is very different from a hypothetical situation. Emotions are far less powerful when they are only imagined. A serious threat experienced is not the same as a serious threat imagined.,In Control,"Monckton-Smith, Jane",13,2022-01-09 12:28:38
"Women are taught in both implicit and explicit ways, from a very early age, that men present threats to them that they should try to pre-empt and avoid, especially in the context of sexual assaults or domestic violence.",In Control,"Monckton-Smith, Jane",23,2022-01-09 12:32:15
"Women are taught in both implicit and explicit ways, from a very early age, that men present threats to them that they should try to pre-empt and avoid, especially in the context of sexual assaults or domestic violence. These lessons are in the bone marrow of most women, and they normalise managing the potential dangers.",In Control,"Monckton-Smith, Jane",23,2022-01-09 12:32:37
"Women are taught in both implicit and explicit ways, from a very early age, that men present threats to them that they should try to pre-empt and avoid, especially in the context of sexual assaults or domestic violence. These lessons are in the bone marrow of most women, and they normalise managing the potential dangers. One of these lessons is that the best way to stay safe is to take responsibility and avoid provoking men.",In Control,"Monckton-Smith, Jane",23,2022-01-09 12:32:55
"It has become an urban myth that women can control violence against them through their behaviour, the way they dress, the way they speak, or how much they choose to drink. This is a dangerous myth that gets repeated in the media, in our homes and communities, and in our courtrooms.",In Control,"Monckton-Smith, Jane",26,2022-01-09 12:33:13
"The controlling patterns in domestic abuse do not sit dormant until provoked by the victim. They are perpetually active. The controlling patterns are not responses; they are systems to enforce and monitor control. Always there, always working. Repeating patterns The story of Rafael is very interesting.",In Control,"Monckton-Smith, Jane",33,2022-01-09 12:34:30
"The controlling patterns in domestic abuse do not sit dormant until provoked by the victim. They are perpetually active. The controlling patterns are not responses; they are systems to enforce and monitor control. Always there, always working.",In Control,"Monckton-Smith, Jane",33,2022-01-09 12:34:37
"Also, partners now have the right to request such information from the police if they are concerned or suspicious. In the UK this scheme is popularly known as a Clare’s Law disclosure, after the campaigning by the family of Clare Wood, who in 2009 was fatally strangled and set on fire by her former boyfriend, George Appleton, who had a history of violence against women.",In Control,"Monckton-Smith, Jane",88,2022-01-09 12:47:30
"The court was told that it was necessary to start the trial again without anyone being told about Martin’s previous conviction, because the murder of Martin’s first wife was not regarded as similar enough in circumstances to the second allegation for it to be revealed to the court.",In Control,"Monckton-Smith, Jane",02,2022-01-09 05:33:34
"The court was told that it was necessary to start the trial again without anyone being told about Martin’s previous conviction, because the murder of Martin’s first wife was not regarded as similar enough in circumstances to the second allegation for it to be revealed to the court. It was argued that no one should know about his history because it would be unfair.",In Control,"Monckton-Smith, Jane",02,2022-01-09 05:33:44
"So stage one is all about history. Does the person have any history of stalking, control or violence? Are they the type of person who has to win? Are they routinely jealous and possessive? These are all red flags. Take any hint of a history seriously; never assume it’s all a misunderstanding or maliciously concocted by a vengeful ex. Just be open to the potential for the person to be at stage one of this timeline.",In Control,"Monckton-Smith, Jane",19,2022-01-09 05:35:12
"Stage two is when a controlling person finds someone they want to be in a relationship with and they try to move things very, very quickly, or they may be very persistent.",In Control,"Monckton-Smith, Jane",47,2022-01-09 05:38:35
"Coercive control is designed so that, for the victim, hitting the brake is a high-risk strategy.",In Control,"Monckton-Smith, Jane",010,2022-01-10 07:01:06
"was talking with Professor Evan Stark about this issue one day. ‘The thing is, Jane,’ he observed, ‘I can say things you never could, and because I’m a man, I get away with it.’ He did not mean he could swear",In Control,"Monckton-Smith, Jane",091,2022-01-10 08:06:05
"I was talking with Professor Evan Stark about this issue one day. ‘The thing is, Jane,’ he observed, ‘I can say things you never could, and because I’m a man, I get away with it.’ He did not mean he could swear or be outrageous – he was referring to his ability and freedom to professionally challenge others, male or female, without suffering an aggressive attack.",In Control,"Monckton-Smith, Jane",091,2022-01-10 08:06:15
Threat-assessment expert Gavin de Becker states that women have to protect themselves from possible abuse and assault in ways men just do not understand.,In Control,"Monckton-Smith, Jane",107,2022-01-10 08:09:57
"Threat-assessment expert Gavin de Becker states that women have to protect themselves from possible abuse and assault in ways men just do not understand. Women must make decisions about their safety, based on their sex, on a routine and daily basis.",In Control,"Monckton-Smith, Jane",107,2022-01-10 08:10:25
"It reveals a partner’s paranoia and entitlement, not their love.",In Control,"Monckton-Smith, Jane",165,2022-01-10 09:58:51
Why he want access to your phone,In Control,"Monckton-Smith, Jane",165,2022-01-10 09:59:19
The jealousy code and the myth of the crime of passion give power to controlling people because they have become plausible explanations for what is actually control.,In Control,"Monckton-Smith, Jane",174,2022-01-10 10:04:55
"Up until 1828 in England and Wales, for example, there was a common law offence known as ‘petty treason’, and this was an offence committed against a ‘superior’ by a ‘subordinate’ – for example, a servant killing a master. It legally inscribed hierarchy, and in cases of homicide a woman would be charged with petty treason rather than murder for killing or attempting to kill a husband; a husband killing a wife would be charged with the lesser offence of murder",In Control,"Monckton-Smith, Jane",334,2022-01-10 11:26:00
